パス,名前,種類,アクセス許可,継承,適用先
"H:\GODZILLA-KING_OF_THE_MONSTERS","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\GODZILLA-KING_OF_THE_MONSTERS","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\GODZILLA-KING_OF_THE_MONSTERS","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\GODZILLA-KING_OF_THE_MONSTERS","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\GODZILLA-KING_OF_THE_MONSTERS","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\GODZILLA-KING_OF_THE_MONSTERS","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\GODZILLA-KING_OF_THE_MONSTERS","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\GODZILLA-KING_OF_THE_MONSTERS","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\image","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\image","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\image","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\image","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\image","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\image","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\image","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\image","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\ISO","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\ISO","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\ISO","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\ISO","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\ISO","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\ISO","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\ISO","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\ISO","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\log","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\log","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\log","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\log","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\log","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\log","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\log","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\log","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\Ofc2019ProPlus","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\Ofc2019ProPlus","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Ofc2019ProPlus","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\Ofc2019ProPlus","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Ofc2019ProPlus","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\Ofc2019ProPlus","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\Ofc2019ProPlus","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\Ofc2019ProPlus","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\Offie2019","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\Offie2019","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Offie2019","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\Offie2019","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\Offie2019","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\Offie2019","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\Offie2019","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\Offie2019","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\work","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\work","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\work","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\work","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\work","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\work","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\work","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\work","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\_iso","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\_iso","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\_iso","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\_iso","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\_iso","NT AUTHORITY\Authenticated Users","変更","許可","True","このフォルダ、"
"H:\_iso","NT AUTHORITY\Authenticated Users","変更","許可","True","サブフォルダ、 ファイル"
"H:\_iso","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、"
"H:\_iso","BUILTIN\Users","読み取りと実行","許可","True","サブフォルダ、 ファイル"
"H:\ジブリ","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、"
"H:\ジブリ","BUILTIN\Administrators","フル コントロール","許可","True","サブフォルダ、 ファイル"
"H:\ジブリ","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、"
"H:\ジブリ","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","サブフォルダ、 ファイル"
