名前,グループ,プロファイル,有効,規則,操作,プログラム,ローカルIP,リモートIP,ローカルアドレス,リモートアドレス,プロトコル,ローカルポート,リモートポート
コア ネットワーク - 時間超過 (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - 到達不可能な宛先 - 断片化が必要 (ICMPv4 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,ICMPv4,RPC,任意
コア ネットワーク - 到達不可能な宛先 (ICMPv6 受信),コア ネットワーク,"すべて",有効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク - 動的ホスト構成プロトコル (DHCP 受信),コア ネットワーク,"すべて",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,68,67
コア ネットワーク診断 - ICMP エコー要求 (ICMPv4 受信),コア ネットワーク診断,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,ICMPv4,RPC,任意
コア ネットワーク診断 - ICMP エコー要求 (ICMPv4 受信),コア ネットワーク診断,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット4,任意,ローカルサブネット4,ICMPv4,RPC,任意
コア ネットワーク診断 - ICMP エコー要求 (ICMPv6 受信),コア ネットワーク診断,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,ICMPv6,RPC,任意
コア ネットワーク診断 - ICMP エコー要求 (ICMPv6 受信),コア ネットワーク診断,"プライベート, パブリック",無効,受信,許可,System,任意,ローカルサブネット6,任意,ローカルサブネット6,ICMPv6,RPC,任意
スケジュールされたリモート タスク管理 (RPC),スケジュールされたリモート タスク管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPC,任意
スケジュールされたリモート タスク管理 (RPC),スケジュールされたリモート タスク管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPC,任意
スケジュールされたリモート タスク管理 (RPC-EPMAP),スケジュールされたリモート タスク管理,"プライベート, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,RPCEPMap,任意
スケジュールされたリモート タスク管理 (RPC-EPMAP),スケジュールされたリモート タスク管理,"ドメイン",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,TCP,RPCEPMap,任意
スタート,スタート,"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
デスクトップ アプリ Web ビューアー,デスクトップ アプリ Web ビューアー,"ドメイン, プライベート, パブリック",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
デバイス キャスト SSDP 探索 (UDP 受信),デバイス キャスト機能,"パブリック",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,PlayToDiscovery,任意
デバイス キャスト UPnP イベント (TCP 受信),デバイス キャスト機能,"パブリック",有効,受信,許可,System,任意,PlayToDevice,任意,PlayToDevice,TCP,2869,任意
デバイス キャスト ストリーミング サーバー (HTTP ストリーミング受信),デバイス キャスト機能,"プライベート",有効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,10246,任意
デバイス キャスト ストリーミング サーバー (HTTP ストリーミング受信),デバイス キャスト機能,"ドメイン",有効,受信,許可,System,任意,任意,任意,任意,TCP,10246,任意
デバイス キャスト ストリーミング サーバー (HTTP ストリーミング受信),デバイス キャスト機能,"パブリック",有効,受信,許可,System,任意,PlayToDevice,任意,PlayToDevice,TCP,10246,任意
デバイス キャスト ストリーミング サーバー (RTCP ストリーミング受信),デバイス キャスト機能,"ドメイン",有効,受信,許可,%SystemRoot%\system32\mdeserver.exe,任意,任意,任意,任意,UDP,任意,任意
デバイス キャスト ストリーミング サーバー (RTCP ストリーミング受信),デバイス キャスト機能,"パブリック",有効,受信,許可,%SystemRoot%\system32\mdeserver.exe,任意,PlayToDevice,任意,PlayToDevice,UDP,任意,任意
デバイス キャスト ストリーミング サーバー (RTCP ストリーミング受信),デバイス キャスト機能,"プライベート",有効,受信,許可,%SystemRoot%\system32\mdeserver.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,任意,任意
デバイス キャスト ストリーミング サーバー (RTSP ストリーミング受信),デバイス キャスト機能,"パブリック",有効,受信,許可,%SystemRoot%\system32\mdeserver.exe,任意,PlayToDevice,任意,PlayToDevice,TCP,23554 23555 23556,任意
